tanggal,hari,periode_data,pm10,pm25,so2,co,o3,no2,max,critical,categori,stasiun
2010-01-01,Jumat,201001,60.0,,4.0,73.0,27.0,14.0,73.0,CO,SEDANG,DKI1 Bunderan HI
2010-01-02,Sabtu,201001,32.0,,2.0,16.0,33.0,9.0,33.0,O3,BAIK,DKI1 Bunderan HI
2010-01-03,Minggu,201001,27.0,,2.0,19.0,20.0,9.0,27.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-04,Senin,201001,22.0,,2.0,16.0,15.0,6.0,22.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-05,Selasa,201001,25.0,,2.0,17.0,15.0,8.0,25.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-06,Rabu,201001,30.0,,3.0,22.0,19.0,11.0,30.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-07,Kamis,201001,41.0,,4.0,24.0,27.0,13.0,41.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-08,Jumat,201001,64.0,,8.0,51.0,19.0,15.0,64.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-09,Sabtu,201001,55.0,,5.0,39.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-10,Minggu,201001,34.0,,5.0,23.0,26.0,12.0,34.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-11,Senin,201001,55.0,,10.0,32.0,23.0,16.0,55.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-12,Selasa,201001,45.0,,4.0,33.0,9.0,17.0,45.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-13,Rabu,201001,28.0,,5.0,29.0,10.0,12.0,29.0,CO,BAIK,DKI1 Bunderan HI
2010-01-14,Kamis,201001,38.0,,6.0,28.0,15.0,10.0,38.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-15,Jumat,201001,35.0,,5.0,33.0,17.0,17.0,35.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-16,Sabtu,201001,54.0,,5.0,38.0,17.0,18.0,54.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-17,Minggu,201001,44.0,,4.0,28.0,22.0,14.0,44.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-18,Senin,201001,38.0,,4.0,29.0,24.0,15.0,38.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-19,Selasa,201001,40.0,,3.0,43.0,23.0,23.0,43.0,CO,BAIK,DKI1 Bunderan HI
2010-01-20,Rabu,201001,61.0,,5.0,63.0,16.0,17.0,63.0,CO,SEDANG,DKI1 Bunderan HI
2010-01-21,Kamis,201001,36.0,,4.0,27.0,23.0,13.0,36.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-22,Jumat,201001,51.0,,4.0,45.0,14.0,13.0,51.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-23,Sabtu,201001,35.0,,3.0,30.0,20.0,14.0,35.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-24,Minggu,201001,56.0,,6.0,46.0,30.0,14.0,56.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-25,Senin,201001,59.0,,4.0,38.0,18.0,15.0,59.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-26,Selasa,201001,43.0,,5.0,42.0,19.0,24.0,43.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-27,Rabu,201001,54.0,,8.0,38.0,40.0,16.0,54.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-28,Kamis,201001,72.0,,8.0,55.0,20.0,17.0,72.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-29,Jumat,201001,51.0,,8.0,24.0,19.0,11.0,51.0,PM10,SEDANG,DKI1 Bunderan HI
2010-01-30,Sabtu,201001,47.0,,8.0,32.0,19.0,12.0,47.0,PM10,BAIK,DKI1 Bunderan HI
2010-01-31,Minggu,201001,32.0,,5.0,25.0,26.0,10.0,32.0,PM10,BAIK,DKI1 Bunderan HI
2010-02-01,Senin,201002,41.0,,7.0,30.0,17.0,13.0,41.0,PM10,BAIK,DKI1 Bunderan HI
2010-02-02,Selasa,201002,50.0,,4.0,30.0,23.0,12.0,50.0,PM10,BAIK,DKI1 Bunderan HI
2010-02-03,Rabu,201002,49.0,,7.0,33.0,57.0,23.0,57.0,O3,SEDANG,DKI1 Bunderan HI
2010-02-04,Kamis,201002,59.0,,9.0,38.0,75.0,26.0,75.0,O3,SEDANG,DKI1 Bunderan HI
